Time, Result, Description
"2014.12.17 00:34:20.981" ,"00","모듈 업데이트 응답 수신 성공"
"2014.12.17 15:12:57.329" ,"00","모듈 업데이트 응답 수신 성공"
"2014.12.17 15:48:27.655" ,"00","모듈 업데이트 응답 수신 성공"
"2014.12.17 15:50:46.579" ,"ERROR","CTRMODULEUPDATE 요청 수신에 실패했습니다. Agent를 일시 중지합니다. ESB 관리자에게 문의하십시오."
"2014.12.17 16:34:53.077" ,"00","모듈 업데이트 응답 수신 성공"
"2014.12.17 16:36:41.331" ,"ERROR","CTRMODULEUPDATE 요청 수신에 실패했습니다. Agent를 일시 중지합니다. ESB 관리자에게 문의하십시오."
"2014.12.17 16:39:45.018" ,"ERROR","CTRMODULEUPDATE 요청 수신에 실패했습니다. Agent를 일시 중지합니다. ESB 관리자에게 문의하십시오."
"2014.12.17 16:41:38.866" ,"ERROR","CTRMODULEUPDATE 요청 수신에 실패했습니다. Agent를 일시 중지합니다. ESB 관리자에게 문의하십시오."
"2014.12.17 16:46:12.362" ,"ERROR","CTRMODULEUPDATE 요청 수신에 실패했습니다. Agent를 일시 중지합니다. ESB 관리자에게 문의하십시오."
"2014.12.17 16:46:12.362" ,"99","AGENT 기동 실패 | ESB 관리자에게 문의하시기 바랍니다."
"2014.12.17 16:50:09.510" ,"ERROR","CTRMODULEUPDATE 요청 수신에 실패했습니다. Agent를 일시 중지합니다. ESB 관리자에게 문의하십시오."
"2014.12.17 16:50:09.510" ,"99","AGENT 기동 실패 | ESB 관리자에게 문의하시기 바랍니다."
"2014.12.17 16:51:10.512" ,"00","모듈 업데이트 응답 수신 성공"
"2014.12.17 16:54:53.431" ,"00","모듈 업데이트 응답 수신 성공"
"2014.12.17 16:56:19.454" ,"00","모듈 업데이트 응답 수신 성공"
